yourlist:M20210906A084FC58F6BBA219896F365D15F2EB441956986	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
WP_075899445.1	A0A1U7N1D9	A0A1U7N1D9_9CYAN	unreviewed	C4-dicarboxylate ABC transporter	BJP37_12860	Moorea bouillonii PNG	443	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	GO:0005886; GO:0016021
WP_002792035.1	I4HH98	I4HH98_MICAE	unreviewed	Probable lipid II flippase MurJ	mviN murJ MICAG_1310005	Microcystis aeruginosa PCC 9808	575	integral component of plasma membrane [GO:0005887]; lipid-linked peptidoglycan transporter activity [GO:0015648]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	GO:0005887; GO:0008360; GO:0009252; GO:0015648; GO:0071555
WP_014015944.1	G0VP32	G0VP32_MEGEL	unreviewed	Uncharacterized protein conserved in bacteria	MELS_0988	Megasphaera elsdenii DSM 20460	123		
WP_024124488.1	V5V3F7	V5V3F7_9CYAN	unreviewed	Uncharacterized protein	NK55_03700	Thermosynechococcus sp. NK55a	219	integral component of membrane [GO:0016021]	GO:0016021
WP_015116850.1	A0A1Z4LWB1	A0A1Z4LWB1_9CYAN	unreviewed	Histone family protein DNA-binding protein	NIES267_50450	Calothrix parasitica NIES-267	94	DNA binding [GO:0003677]	GO:0003677
WP_015116850.1	K9R852	K9R852_9CYAN	unreviewed	Bacterial nucleoid DNA-binding protein	Riv7116_0682	Rivularia sp. PCC 7116	94	DNA binding [GO:0003677]	GO:0003677
WP_012594616.1	B7K3K0	B7K3K0_RIPO1	unreviewed	Uncharacterized protein	PCC8801_1277	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	126	integral component of membrane [GO:0016021]	GO:0016021
WP_041038914.1	A0A0C2LL87	A0A0C2LL87_9CYAN	unreviewed	Membrane protein	SD81_24000	Tolypothrix campylonemoides VB511288	281	ATP-binding cassette (ABC) transporter complex [GO:0043190]; integral component of plasma membrane [GO:0005887]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005887; GO:0042626; GO:0043190
WP_046277747.1	A0A0F5YJG7	A0A0F5YJG7_9CYAN	unreviewed	ABC transporter permease	WN50_06710 WN50_34275	Limnoraphis robusta CS-951	259	ATP-binding cassette (ABC) transporter complex [GO:0043190]	GO:0043190
WP_065713008.1	A0A1B1TLC9	A0A1B1TLC9_9SYNE	unreviewed	Protein adenylyltransferase SelO (EC 2.7.7.n1)	selO AWQ21_01440	Synechococcus sp. PCC 7003	567	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; nucleotidyltransferase activity [GO:0016779]	GO:0000287; GO:0005524; GO:0016779
WP_015955605.1	B7KHR5	B7KHR5_GLOC7	unreviewed	Binding-protein-dependent transport systems inner membrane component	PCC7424_3626	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	562	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0016021; GO:0055085
WP_015142851.1	K9T281	K9T281_9CYAN	unreviewed	Ferredoxin	Ple7327_1133	Pleurocapsa sp. PCC 7327	116	electron transfer activity [GO:0009055]; iron-sulfur cluster binding [GO:0051536]	GO:0009055; GO:0051536
WP_073598946.1	A0A1U7HLN0	A0A1U7HLN0_9CYAN	unreviewed	UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.-)	lpxD NIES593_07240	Hydrococcus rivularis NIES-593	348	N-acyltransferase activity [GO:0016410]; lipid A biosynthetic process [GO:0009245]	GO:0009245; GO:0016410
WP_013323197.1	E0UAY2	E0UAY2_GLOV7	unreviewed	PSI-F (Photosystem I reaction center subunit III)	Cyan7822_3150	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	162	photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]	GO:0009538; GO:0015979
WP_067774574.1	A0A1Z4I1M9	A0A1Z4I1M9_9NOSO	unreviewed	Photosystem I reaction center subunit IX	psaJ NIES2111_02530	Nostoc sp. NIES-2111	49	integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009522; GO:0015979; GO:0016021; GO:0031676
WP_002793605.1	I4HR48	I4HR48_MICAE	unreviewed	HTH cro/C1-type domain-containing protein	MICAG_2460006	Microcystis aeruginosa PCC 9808	230	DNA binding [GO:0003677]	GO:0003677
WP_046663370.1	A0A0F6U7Y4	A0A0F6U7Y4_MICAE	unreviewed	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	nnrD nnrE MYAER_4093	Microcystis aeruginosa NIES-2549	522	ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nicotinamide nucleotide metabolic process [GO:0046496]	GO:0005524; GO:0046496; GO:0046872; GO:0052855; GO:0052856; GO:0052857
WP_062247094.1	A0A0S3TNH6	A0A0S3TNH6_9CYAN	unreviewed	NYN domain-containing protein	FIS3754_25790	Fischerella sp. NIES-3754	229		
WP_069473990.1	A0A1E4QK01	A0A1E4QK01_MICAE	unreviewed	Uncharacterized protein	BFG60_0659	Microcystis aeruginosa NIES-98	70		
WP_069473990.1	A0A3N0W232	A0A3N0W232_MICAE	unreviewed	DUF2555 domain-containing protein	ED562_15940	Microcystis aeruginosa FACHB-524	70		
WP_073599722.1	A0A1U7HGR9	A0A1U7HGR9_9CYAN	unreviewed	Glycosyl transferase group 1	NIES593_11535	Hydrococcus rivularis NIES-593	390	"transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0016757
WP_007312034.1	G5J9G9	G5J9G9_CROWT	unreviewed	Uncharacterized protein	CWATWH0003_4085	Crocosphaera watsonii WH 0003	224		
WP_007312034.1	T2IY39	T2IY39_CROWT	unreviewed	Sll1939 protein	CWATWH0005_383	Crocosphaera watsonii WH 0005	224		
WP_007312036.1	G5J9H1	G5J9H1_CROWT	unreviewed	ABC transporter	CWATWH0003_4087	Crocosphaera watsonii WH 0003	804	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0016021; GO:0042626
WP_007312036.1	T2IW65	T2IW65_CROWT	unreviewed	ABC transporter	CWATWH0005_385	Crocosphaera watsonii WH 0005	804	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0016021; GO:0042626
WP_007312038.1	G5J9H3	G5J9H3_CROWT	unreviewed	"ABC transporter, ATP-binding subunit"	CWATWH0003_4089	Crocosphaera watsonii WH 0003	365	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0042626; GO:0043190
WP_007312038.1	T2IVW3	T2IVW3_CROWT	unreviewed	SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3)	CWATWH0005_387	Crocosphaera watsonii WH 0005	365	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0042626; GO:0043190
WP_007312038.1	T2JVD7	T2JVD7_CROWT	unreviewed	SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3)	CWATWH0402_4871	Crocosphaera watsonii WH 0402	365	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0042626; GO:0043190
WP_011242806.1	Q44115	CPCE_SYNE7	reviewed	Phycocyanobilin lyase subunit alpha (EC 4.-.-.-) (Phycocyanin operon protein CpcE)	cpcE Synpcc7942_1054	Synechococcus elongatus (strain PCC 7942 / FACHB-805) (Anacystis nidulans R2)	273	phycobilisome [GO:0030089]; lyase activity [GO:0016829]	GO:0016829; GO:0030089
WP_011242806.1	A0A0H3K0X7	A0A0H3K0X7_SYNP6	unreviewed	Phycobilisome maturation protein CpcE	cpcE syc0494_c	Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans)	273	phycobilisome [GO:0030089]	GO:0030089
WP_012597580.1	B7K9E7	B7K9E7_GLOC7	unreviewed	"Phycocyanin, alpha subunit"	PCC7424_0160	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	162	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]	GO:0015979; GO:0018298; GO:0030089; GO:0031676
WP_002783916.1	I4GV40	I4GV40_MICAE	unreviewed	Uncharacterized protein	MICAE_2060018	Microcystis aeruginosa PCC 9806	130		
WP_073599448.1	A0A1U7HJ22	A0A1U7HJ22_9CYAN	unreviewed	Photosystem I reaction center subunit XI (PSI subunit V) (PSI-L)	psaL NIES593_10030	Hydrococcus rivularis NIES-593	503	integral component of membrane [GO:0016021]; photosystem I reaction center [GO:0009538]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; photosynthetic electron transport chain [GO:0009767]; protein-chromophore linkage [GO:0018298]	GO:0009538; GO:0009767; GO:0016021; GO:0016168; GO:0018298; GO:0031676
WP_002760208.1	I4FPM7	I4FPM7_MICAE	unreviewed	Ferrous iron transport protein B	feoB MICAB_3500002	Microcystis aeruginosa PCC 9717	774	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ferrous iron transmembrane transporter activity [GO:0015093]; GTP binding [GO:0005525]; iron ion homeostasis [GO:0055072]	GO:0005525; GO:0005886; GO:0015093; GO:0016021; GO:0055072
WP_023064721.1	U7QRY7	U7QRY7_9CYAN	unreviewed	HicB-like domain-containing protein	M595_0797	Lyngbya aestuarii BL J	70		
WP_073600312.1	A0A1U7HDS1	A0A1U7HDS1_9CYAN	unreviewed	Diguanylate cyclase	NIES593_14750	Hydrococcus rivularis NIES-593	699		
WP_008276065.1	A3IRQ5	A3IRQ5_9CHRO	unreviewed	Uncharacterized protein	CY0110_25776	Crocosphaera chwakensis CCY0110	376		
WP_007310388.1	G5J3K3	G5J3K3_CROWT	unreviewed	"Hypothetical dihydropyrimidine dehydrogenase [NADP+], dihydroorotate dehydrogenase-like protein"	CWATWH0003_2079	Crocosphaera watsonii WH 0003	345	cytoplasm [GO:0005737]; dihydroorotate dehydrogenase activity [GO:0004152]; 'de novo' UMP biosynthetic process [GO:0044205]	GO:0004152; GO:0005737; GO:0044205
WP_007310388.1	T2IFQ0	T2IFQ0_CROWT	unreviewed	"Putative dihydropyrimidine dehydrogenase [NADP+], similar to dihydroorotate dehydrogenase"	CWATWH8502_2183	Crocosphaera watsonii WH 8502	345	cytoplasm [GO:0005737]; dihydroorotate dehydrogenase activity [GO:0004152]; 'de novo' UMP biosynthetic process [GO:0044205]	GO:0004152; GO:0005737; GO:0044205
WP_007310388.1	T2ITT6	T2ITT6_CROWT	unreviewed	"Putative dihydropyrimidine dehydrogenase [NADP+], similar to dihydroorotate dehydrogenase"	CWATWH0005_65	Crocosphaera watsonii WH 0005	345	cytoplasm [GO:0005737]; dihydroorotate dehydrogenase activity [GO:0004152]; 'de novo' UMP biosynthetic process [GO:0044205]	GO:0004152; GO:0005737; GO:0044205
WP_007310388.1	T2JGE5	T2JGE5_CROWT	unreviewed	"Putative dihydropyrimidine dehydrogenase [NADP+], similar to dihydroorotate dehydrogenase"	CWATWH0401_1899	Crocosphaera watsonii WH 0401	345	cytoplasm [GO:0005737]; dihydroorotate dehydrogenase activity [GO:0004152]; 'de novo' UMP biosynthetic process [GO:0044205]	GO:0004152; GO:0005737; GO:0044205
WP_012598591.1	B7K777	B7K777_GLOC7	unreviewed	Malate dehydrogenase (Oxaloacetate-decarboxylating) (EC 1.1.1.38)	PCC7424_1195	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	463	malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; oxaloacetate decarboxylase activity [GO:0008948]	GO:0004471; GO:0008948; GO:0046872; GO:0051287
WP_046279779.1	A0A0F5YDU4	A0A0F5YDU4_9CYAN	unreviewed	50S ribosomal protein L25	WN50_17080	Limnoraphis robusta CS-951	100	ribosome [GO:0005840]; 5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0008097
WP_065714156.1	A0A1B1TPV9	A0A1B1TPV9_9SYNE	unreviewed	Photosystem I assembly protein Ycf3	ycf3 AWQ21_08425	Synechococcus sp. PCC 7003	173	plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0015979; GO:0031676
WP_008272489.1	A3IGR0	A3IGR0_9CHRO	unreviewed	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)	gatC CY0110_09767	Crocosphaera chwakensis CCY0110	98	asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; regulation of translational fidelity [GO:0006450]; translation [GO:0006412]	GO:0005524; GO:0006412; GO:0006450; GO:0050566; GO:0050567
WP_008272496.1	A3IGR7	A3IGR7_9CHRO	unreviewed	Ribonuclease E and G	CY0110_09802	Crocosphaera chwakensis CCY0110	669	ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA processing [GO:0006396]	GO:0003723; GO:0004540; GO:0006396
WP_015145832.1	K9TBL5	K9TBL5_9CYAN	unreviewed	Uncharacterized protein	Ple7327_4431	Pleurocapsa sp. PCC 7327	116		
WP_048936442.1	A0A0J9D8X1	A0A0J9D8X1_SPHYA	unreviewed	UPF0056 membrane protein	BV87_00755 GS397_24830	Sphingobium yanoikuyae (Sphingomonas yanoikuyae)	210	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	GO:0005886; GO:0016021
WP_007305866.1	G5J654	G5J654_CROWT	unreviewed	HicB-like domain-containing protein	CWATWH0003_2959	Crocosphaera watsonii WH 0003	67		
WP_007305866.1	Q4C2R4	Q4C2R4_CROWT	unreviewed	HicB-like domain-containing protein	CwatDRAFT_3078	Crocosphaera watsonii WH 8501	67		
WP_007305866.1	T2I9U5	T2I9U5_CROWT	unreviewed	HicB-like domain-containing protein	CWATWH8502_1641	Crocosphaera watsonii WH 8502	67		
WP_007305866.1	T2IYZ6	T2IYZ6_CROWT	unreviewed	HicB-like domain-containing protein	CWATWH0005_2535	Crocosphaera watsonii WH 0005	67		
WP_007305866.1	T2JLV7	T2JLV7_CROWT	unreviewed	HicB-like domain-containing protein	CWATWH0402_4818	Crocosphaera watsonii WH 0402	67		
WP_072722556.1	A0A1J1LTS0	A0A1J1LTS0_9CYAN	unreviewed	Uncharacterized protein	PL9214670232	Planktothrix tepida PCC 9214	340	integral component of membrane [GO:0016021]	GO:0016021
WP_002748182.1	A0A1X9LAB7	A0A1X9LAB7_MICAE	unreviewed	Uncharacterized protein	BH695_0440	Microcystis aeruginosa PCC 7806SL	100		
WP_002748182.1	L8NNN9	L8NNN9_MICAE	unreviewed	Uncharacterized protein	C789_4730	Microcystis aeruginosa DIANCHI905	100		
WP_008275455.1	A3IPZ0	A3IPZ0_9CHRO	unreviewed	Uncharacterized protein	CY0110_05152	Crocosphaera chwakensis CCY0110	96		
WP_015180722.1	K9W9Z1	K9W9Z1_9CYAN	unreviewed	Putative hydrolase or acyltransferase of alpha/beta superfamily	Mic7113_0646	Microcoleus sp. PCC 7113	317	"hydrolase activity [GO:0016787]; transferase activity, transferring acyl groups [GO:0016746]"	GO:0016746; GO:0016787
WP_015205114.1	K9W5F0	K9W5F0_9CYAN	unreviewed	Flavin reductase domain protein FMN-binding protein	Cri9333_4230	Crinalium epipsammum PCC 9333	160	FMN binding [GO:0010181]	GO:0010181
WP_007311373.1	G5J755	G5J755_CROWT	unreviewed	ABC transporter-like protein	CWATWH0003_3296	Crocosphaera watsonii WH 0003	436	ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0042626
WP_009546854.1	B1WNM1	B1WNM1_CROS5	unreviewed	Probable glycosyl transferase	cce_2100	Crocosphaera subtropica (strain ATCC 51142 / BH68) (Cyanothece sp. (strain ATCC 51142))	368	"transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0016757
WP_009784395.1	A0YPJ3	A0YPJ3_LYNSP	unreviewed	Uncharacterized protein	L8106_19286	Lyngbya sp. (strain PCC 8106) (Lyngbya aestuarii (strain CCY9616))	469	integral component of membrane [GO:0016021]	GO:0016021
WP_009547707.1	B1WW03	B1WW03_CROS5	unreviewed	Uncharacterized protein	cce_2988	Crocosphaera subtropica (strain ATCC 51142 / BH68) (Cyanothece sp. (strain ATCC 51142))	413	integral component of membrane [GO:0016021]	GO:0016021
WP_012597020.1	B7K456	B7K456_RIPO1	unreviewed	Uncharacterized protein	PCC8801_3812	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	71		
WP_073601601.1	A0A1U7H7T5	A0A1U7H7T5_9CYAN	unreviewed	TIGR02652 family protein	NIES593_21820	Hydrococcus rivularis NIES-593	169		
WP_028947469.1	A0A068MYZ4	A0A068MYZ4_SYNY4	unreviewed	Anthranilate synthase component 1 (EC 4.1.3.27)	trpE D082_25810	Synechocystis sp. (strain PCC 6714) (Aphanocapsa sp. (strain PCC 6714))	508	anthranilate synthase activity [GO:0004049]; metal ion binding [GO:0046872]; tryptophan biosynthetic process [GO:0000162]	GO:0000162; GO:0004049; GO:0046872
WP_073595772.1	A0A1U7IAL1	A0A1U7IAL1_9CYAN	unreviewed	Nitrate/nitrite transporter	NIES2119_22650	Phormidium ambiguum IAM M-71	511	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; nitrate transmembrane transporter activity [GO:0015112]; nitrite transmembrane transporter activity [GO:0015113]; nitrate assimilation [GO:0042128]	GO:0005886; GO:0015112; GO:0015113; GO:0016021; GO:0042128
WP_075893306.1	A0A1Q4R2Z2	A0A1Q4R2Z2_9CYAN	unreviewed	Cytochrome B6	NIES208_12390	Limnothrix rosea IAM M-220	64		
WP_002771944.1	A0A0K1S1H0	A0A0K1S1H0_9CHRO	unreviewed	Teichoic acid export ATP-binding protein TagH	VL20_2757	Microcystis panniformis FACHB-1757	251	ATP binding [GO:0005524]	GO:0005524
WP_002771944.1	A0A2L2XJV3	A0A2L2XJV3_9CHRO	unreviewed	Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	N0824_00223	Microcystis sp. 0824	251	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	GO:0005524; GO:0016787
WP_002771944.1	A0A6H9GVF6	A0A6H9GVF6_MICAE	unreviewed	Polysaccharide export ABC-transporter ATP-binding subunit	NIES3806_21070	Microcystis aeruginosa NIES-3806	251	ATP binding [GO:0005524]	GO:0005524
WP_002771944.1	I4GAB4	I4GAB4_MICAE	unreviewed	O-antigen export system ATP-binding protein rfbB	rfbB MICAC_6060003	Microcystis aeruginosa PCC 9443	251	ATP binding [GO:0005524]	GO:0005524
WP_002771944.1	I4H2F7	I4H2F7_MICAE	unreviewed	O-antigen export system ATP-binding protein rfbB	rfbB MICAF_1820011	Microcystis aeruginosa PCC 9807	251	ATP binding [GO:0005524]	GO:0005524
WP_044447575.1	A0A4D9CBY8	A0A4D9CBY8_MASLA	unreviewed	Type II toxin-antitoxin system RelE/ParE family toxin	BLD44_022715	Mastigocladus laminosus UU774	89		
WP_044447575.1	A0A4Q9JCA5	A0A4Q9JCA5_9CYAN	unreviewed	Plasmid stabilization protein	B4U84_08850	Westiellopsis prolifica IICB1	89		
WP_007305626.1	Q4C3H7	Q4C3H7_CROWT	unreviewed	Uncharacterized protein	CwatDRAFT_3672	Crocosphaera watsonii WH 8501	804	membrane [GO:0016020]; glucosylceramidase activity [GO:0004348]; carbohydrate metabolic process [GO:0005975]; glucosylceramide catabolic process [GO:0006680]	GO:0004348; GO:0005975; GO:0006680; GO:0016020
WP_016866572.1	A0A2N6K667	A0A2N6K667_FISMU	unreviewed	"2-phytyl-1,4-naphtoquinone methyltransferase (EC 2.1.1.329) (Demethylphylloquinone methyltransferase)"	menG CEN44_06350	Fischerella muscicola CCMEE 5323	230	"2-phytyl-1,4-naphthoquinone methyltransferase activity [GO:0052624]; methylation [GO:0032259]; phylloquinone biosynthetic process [GO:0042372]"	GO:0032259; GO:0042372; GO:0052624
WP_054466640.1	A0A0M1JTF6	A0A0M1JTF6_9CYAN	unreviewed	Cytosine-specific methyltransferase (EC 2.1.1.37)	AM228_13495	Planktothricoides sp. SR001	470	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA restriction-modification system [GO:0009307]	GO:0003886; GO:0009307
WP_028946800.1	A0A068MYF8	A0A068MYF8_SYNY4	unreviewed	Uncharacterized protein	D082_02180	Synechocystis sp. (strain PCC 6714) (Aphanocapsa sp. (strain PCC 6714))	110		
WP_044107253.1	A0A077JGU3	A0A077JGU3_9CYAN	unreviewed	50S ribosomal protein L19	rplS rpl19 ETSB_1703	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	120	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
WP_021835984.1	T2JBF6	T2JBF6_CROWT	unreviewed	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD CWATWH0401_3058	Crocosphaera watsonii WH 0401	228	"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]"	GO:0016114; GO:0019288; GO:0050518
WP_015153822.1	K9TZ75	K9TZ75_CHRTP	unreviewed	Uncharacterized protein	Chro_1757	Chroococcidiopsis thermalis (strain PCC 7203)	209		
WP_015184288.1	K9WKW7	K9WKW7_9CYAN	unreviewed	GTP-binding protein LepA	Mic7113_4459	Microcoleus sp. PCC 7113	603	plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525; GO:0005886
WP_009543056.1	B1WZD5	B1WZD5_CROS5	unreviewed	Probable protein phosphatase	cce_0149	Crocosphaera subtropica (strain ATCC 51142 / BH68) (Cyanothece sp. (strain ATCC 51142))	647	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	GO:0004722; GO:0046872
WP_073071131.1	A0A2T1DHN1	A0A2T1DHN1_9CYAN	unreviewed	Tetratricopeptide repeat protein	C7B65_09760	Phormidesmis priestleyi ULC007	330		
WP_002797006.1	I4HRF3	I4HRF3_MICAE	unreviewed	Uncharacterized protein	MICAH_3050017	Microcystis aeruginosa PCC 9809	119	integral component of membrane [GO:0016021]	GO:0016021
WP_069967300.1	A0A1E5QKA2	A0A1E5QKA2_9CYAN	unreviewed	Uncharacterized protein	BH720_11250	Desertifilum sp. IPPAS B-1220	67	integral component of membrane [GO:0016021]	GO:0016021
WP_073071643.1	A0A2T1DH04	A0A2T1DH04_9CYAN	unreviewed	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS C7B65_10550	Phormidesmis priestleyi ULC007	961	cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; isoleucyl-tRNA aminoacylation [GO:0006428]	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005737; GO:0006428; GO:0008270
WP_015117908.1	K9RB89	K9RB89_9CYAN	unreviewed	Arsenical resistance protein ArsH	Riv7116_1788	Rivularia sp. PCC 7116	216	oxidoreductase activity [GO:0016491]	GO:0016491
WP_045871808.1	A0A0D6KM07	A0A0D6KM07_9CYAN	unreviewed	Arsenical-resistance protein	FDUTEX481_08913	Tolypothrix sp. PCC 7601	383	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; inorganic anion transmembrane transporter activity [GO:0015103]	GO:0005886; GO:0015103; GO:0015297; GO:0016021
WP_045871808.1	A0A1Z4M598	A0A1Z4M598_MICDP	unreviewed	Arsenical-resistance protein	NIES3275_06420	Fremyella diplosiphon NIES-3275	383	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; inorganic anion transmembrane transporter activity [GO:0015103]	GO:0005886; GO:0015103; GO:0015297; GO:0016021
WP_015141845.1	K9SY23	K9SY23_9CYAN	unreviewed	ADP-heptose:LPS heptosyltransferase	Ple7327_0047	Pleurocapsa sp. PCC 7327	314	"transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0016757
WP_075600708.1	A0A1Q8Z7Y1	A0A1Q8Z7Y1_9CYAN	unreviewed	Uncharacterized protein	BST81_22230	Leptolyngbya sp. 'hensonii'	271		
WP_010996904.1	A0A1Z4KHE0	A0A1Z4KHE0_ANAVA	unreviewed	NAD(P)-bd_dom domain-containing protein	NIES23_11610	Trichormus variabilis NIES-23	218		
WP_010996904.1	Q8YTG6	Q8YTG6_NOSS1	unreviewed	Alr2751 protein	alr2751	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	218		
WP_015216942.1	K9ZMA8	K9ZMA8_ANACC	unreviewed	Uncharacterized protein	Anacy_4986	Anabaena cylindrica (strain ATCC 27899 / PCC 7122)	283	integral component of membrane [GO:0016021]; electron transport chain [GO:0022900]; transmembrane transport [GO:0055085]	GO:0016021; GO:0022900; GO:0055085
WP_073600732.1	A0A1U7HBJ6	A0A1U7HBJ6_9CYAN	unreviewed	Plastocyanin	petE NIES593_17070	Hydrococcus rivularis NIES-593	126	plasma membrane-derived thylakoid membrane [GO:0031676]; copper ion binding [GO:0005507]; electron transfer activity [GO:0009055]	GO:0005507; GO:0009055; GO:0031676
WP_008199612.1	A0A2P1ULT2	A0A2P1ULT2_9CHRO	unreviewed	Recombinase	B5D77_23665	Microcystis sp. MC19	98		
WP_008199612.1	A0A5A5R9E0	A0A5A5R9E0_MICAE	unreviewed	Uncharacterized protein	MiYa_00528	Microcystis aeruginosa NIES-2519	98		
WP_008199612.1	I4IBH6	I4IBH6_9CHRO	unreviewed	Uncharacterized protein	MICAI_2070001	Microcystis sp. T1-4	98		
WP_007311078.1	G5J651	G5J651_CROWT	unreviewed	DUF5615 domain-containing protein	CWATWH0003_2956	Crocosphaera watsonii WH 0003	62		
WP_007311078.1	T2IPN2	T2IPN2_CROWT	unreviewed	DUF5615 domain-containing protein	CWATWH0005_1033	Crocosphaera watsonii WH 0005	62		
WP_002764616.1	I4GBG6	I4GBG6_MICAE	unreviewed	Peptidase M48 Ste24p	MICAC_80004	Microcystis aeruginosa PCC 9443	321	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	GO:0004222; GO:0046872
