"","id","description","length","eValue","bitscore","simMean","GO_IDs","GO_terms","gene_id","gene_name","KO"
"2734","92_44","WP_154722193.1",833,6.13e-296,840,70.83,"GO:0003824","catalytic activity","K18398","ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [EC:3.1.-.-]","K18398"
"2735","92_48","OPY81708.1",746,1.39e-250,733,68.36,"GO:0006304;GO:0003677;GO:0003824;GO:0008170;GO:0009007;GO:0009307","DNA modification; DNA binding; catalytic activity;DNA binding;N-methyltransferase activity;site-specific DNA-methyltransferase (adenine-specific) activity;DNA restriction-modification system","K07317","adenine-specific DNA-methyltransferase [EC:2.1.1.72]","K07317"
"2736","92_49","NES71583.1",173,2.14e-53,173,64.74,"GO:0003676","nucleic acid binding","K07494","putative transposase","K07494"
"2737","92_50","PSO54132.1",84,3.08e-26,98.6,78.57,"GO:0006355;GO:0003677","regulation of transcription, DNA-templated; DNA binding","K07499","putative transposase","K07499"
"2738","92_51","OPY81708.1",467,6.91e-205,604,78.37,"GO:0006306;GO:0009307;GO:0032259;GO:0032775;GO:0003676;GO:0003677;GO:0008168;GO:0008170;GO:0009007","DNA methylation; DNA restriction-modification system; methylation; DNA methylation on adenine; nucleic acid binding; DNA binding; methyltransferase activity; N-methyltransferase activity; site-specific DNA-methyltransferase (adenine-specific) activity;DNA binding;N-methyltransferase activity;site-specific DNA-methyltransferase (adenine-specific) activity;DNA restriction-modification system","K07317","adenine-specific DNA-methyltransferase [EC:2.1.1.72]","K07317"
"2739","92_56","HIZ23426.1",224,9.73e-29,115,54.02,"GO:0005524;GO:0016887","ATP binding; ATP hydrolysis activity","K06926","uncharacterized protein","K06926"
"2740","92_57","WP_182806838.1",144,2.76e-15,76.3,54.86,"GO:0006281;GO:0003697;GO:0005524","DNA repair; single-stranded DNA binding; ATP binding","K19171","DNA sulfur modification protein DndD","K19171"
"2741","92_61","NER22595.1",79,3.18e-13,67.8,64.56,"GO:0016787","hydrolase activity","K14952","UDP-MurNAc hydroxylase","K14952"
"2742","92_64","WP_168492437.1",75,1.82e-31,119,88,"GO:0005524;GO:0046872","ATP binding; metal ion binding","K01961","acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]","K01961"
"2743","92_65","NEP03440.1",229,1.3e-137,398,89.52,"GO:0005524;GO:0046872","ATP binding; metal ion binding","K01961","acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]","K01961"
"2744","92_67","WP_190660362.1",234,2.36e-97,295,76.5,"GO:0016999;GO:0008194;GO:0016758","antibiotic metabolic process; UDP-glycosyltransferase activity; hexosyltransferase activity","K14596","zeaxanthin glucosyltransferase [EC:2.4.1.276]","K14596"
"2745","92_68","WP_021831311.1",504,0,945,95.63,"GO:0006278;GO:0090305;GO:0003964;GO:0004519","RNA-dependent DNA biosynthetic process; nucleic acid phosphodiester bond hydrolysis; RNA-directed DNA polymerase activity; endonuclease activity;endonuclease activity;RNA-directed DNA polymerase activity","K00986","RNA-directed DNA polymerase [EC:2.7.7.49]","K00986"
"2746","92_69","QDV25781.1",142,7.64e-42,142,66.9,"GO:0016740;GO:0016757","transferase activity; glycosyltransferase activity;transferase activity, transferring glycosyl groups","K14596","zeaxanthin glucosyltransferase [EC:2.4.1.276]","K14596"
"2747","92_76","WP_096587046.1",316,1.33e-164,465,85.76,"GO:0005524","ATP binding","K01990","ABC-2 type transport system ATP-binding protein","K01990"
"2748","92_78","WP_199273198.1",410,3.92e-55,216,51.22,"GO:0006508;GO:0004252;GO:0008236","proteolysis; serine-type endopeptidase activity; serine-type peptidase activity","K17734","serine protease AprX [EC:3.4.21.-]","K17734"
"2749","92_81","WP_199273198.1",348,4.8e-52,201,55.75,"GO:0006508;GO:0004252;GO:0008236","proteolysis; serine-type endopeptidase activity; serine-type peptidase activity","K17734","serine protease AprX [EC:3.4.21.-]","K17734"
"2750","92_84","WP_190664974.1",541,1.1e-195,562,68.02,"GO:0042158;GO:0016410;GO:0016021;GO:0006807","lipoprotein biosynthetic process; N-acyltransferase activity; integral component of membrane;nitrogen compound metabolic process; lipoprotein biosynthetic process","K03820","apolipoprotein N-acyltransferase [EC:2.3.1.269]","K03820"
"2751","92_85","WP_190710483.1",376,4.72e-147,426,72.61,"GO:0006313;GO:0003677;GO:0004803","transposition, DNA-mediated; DNA binding; transposase activity","WP_190710483.1","ISAs1 family transposase","none"
"2752","92_87","WP_007310640.1",277,2.71e-197,545,100,"GO:0016787","hydrolase activity","K02499","tetrapyrrole methylase family protein / MazG family protein","K02499"
"2753","92_87","WP_007310640.1",277,2.71e-197,545,100,"GO:0016787","hydrolase activity","K02499","tetrapyrrole methylase family protein / MazG family protein","K02499"
"2754","92_87","WP_007310640.1",277,2.71e-197,545,100,"GO:0016787","hydrolase activity","K02499","tetrapyrrole methylase family protein / MazG family protein","K02499"
"2755","92_87","WP_007310640.1",277,2.71e-197,545,100,"GO:0016787","hydrolase activity","K02499","tetrapyrrole methylase family protein / MazG family protein","K02499"
"2756","92_88","WP_045874014.1",186,4.59e-72,221,75.27,"GO:0006465;GO:0004252;GO:0016020;GO:0006508;GO:0008236;GO:0016021","signal peptide processing; serine-type endopeptidase activity; membrane; proteolysis; serine-type peptidase activity;integral component of membrane;serine-type endopeptidase activity","K03100","signal peptidase I [EC:3.4.21.89]","K03100"
"2757","92_88","WP_045874014.1",186,4.59e-72,221,75.27,"GO:0006465;GO:0004252;GO:0016020;GO:0006508;GO:0008236;GO:0016021","signal peptide processing; serine-type endopeptidase activity; membrane; proteolysis; serine-type peptidase activity;integral component of membrane;serine-type endopeptidase activity","K03100","signal peptidase I [EC:3.4.21.89]","K03100"
"2758","92_89","WP_144865561.1",250,3.48e-129,370,85.2,"GO:0006535;GO:0009001;GO:0005737","cysteine biosynthetic process from serine; serine O-acetyltransferase activity; cytoplasm","K00640","serine O-acetyltransferase [EC:2.3.1.30]","K00640"
"2759","92_90","HIK38408.1",257,3.02e-91,275,76.65,"GO:0055085;GO:0140359","transmembrane transport; ABC-type transporter activity","K19341","Cu-processing system permease protein","K19341"
"2760","93_1","EHJ12148.1",347,3.23e-224,627,92.51,"GO:0006278;GO:0090305;GO:0003964;GO:0004519","RNA-dependent DNA biosynthetic process; nucleic acid phosphodiester bond hydrolysis; RNA-directed DNA polymerase activity; endonuclease activity;endonuclease activity;RNA-directed DNA polymerase activity","K00986","RNA-directed DNA polymerase [EC:2.7.7.49]","K00986"
"2761","94_2","WP_043999172.1",348,5.65e-197,550,86.49,"GO:0008033;GO:0016783;GO:0016740","tRNA processing; sulfurtransferase activity; transferase activity","K00566","tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]","K00566"
"2762","95_3","NEO27344.1",277,4.01e-152,431,84.48,"GO:0016740","transferase activity","K12984","(heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]","K12984"
"2763","95_4","WP_015955792.1",338,2.13e-210,584,91.42,"GO:0019239","deaminase activity","K01488","adenosine deaminase [EC:3.5.4.4]","K01488"
"2764","95_5","WP_017311436.1",106,1.19e-31,112,67.92,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","K15707","RING finger protein 170 [EC:2.3.2.27]","K15707"
"2765","95_5","WP_017311436.1",106,1.19e-31,112,67.92,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","K15707","RING finger protein 170 [EC:2.3.2.27]","K15707"
"2766","95_6","NCR72173.1",231,1.93e-122,352,89.61,"GO:0000160;GO:0006355;GO:0003677","phosphorelay signal transduction system; regulation of transcription, DNA-templated; DNA binding","K02479","two-component system, NarL family, response regulator","K02479"
"2767","95_9","WP_073600312.1",847,2.71e-220,643,59.03,"GO:0005515","protein binding","K21023","diguanylate cyclase [EC:2.7.7.65]","K21023"
"2768","95_10","CUR31200.1",79,6.76e-27,103,77.22,"GO:0003676","nucleic acid binding","K07494","putative transposase","K07494"
"2769","95_11","CUR31200.1",87,9.26e-39,135,85.06,"GO:0003676","nucleic acid binding","K07494","putative transposase","K07494"
"2770","95_15","WP_073600312.1",695,0,912,82.45,"GO:0005515","protein binding","K21023","diguanylate cyclase [EC:2.7.7.65]","K21023"
"2771","95_16","WP_073600312.1",692,2.21e-153,462,55.78,"GO:0005515","protein binding","K21023","diguanylate cyclase [EC:2.7.7.65]","K21023"
"2772","95_17","WP_107671024.1",195,2.84e-131,371,98.97,"GO:0006614;GO:0005525","SRP-dependent cotranslational protein targeting to membrane; GTP binding","K03496","chromosome partitioning protein","K03496"
"2773","95_22","NEO13927.1",749,3.45e-207,609,65.69,"GO:0000166;GO:0003924","nucleotide binding; GTPase activity;GTPase activity","K06946","uncharacterized protein","K06946"
"2774","95_24","WP_079679789.1",769,0,1038,82.31,"GO:0003924","GTPase activity","K06030","mitofusin 2 [EC:3.6.5.-]","K06030"
"2775","95_25","RNJ67948.1",95,1.05e-31,111,75.79,"GO:0016779","nucleotidyltransferase activity","K07075","uncharacterized protein","K07075"
"2776","95_28","WP_185585902.1",664,6.17e-257,731,72.29,"GO:0017000;GO:0016811;GO:0016787","antibiotic biosynthetic process; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; hydrolase activity","K07116","acyl-homoserine-lactone acylase [EC:3.5.1.97]","K07116"
"2777","95_29","WP_046662465.1",187,1.24e-104,303,88.77,"GO:0006412;GO:0042586;GO:0046872","translation; peptide deformylase activity; metal ion binding;peptide deformylase activity;metal ion binding","K01462","peptide deformylase [EC:3.5.1.88]","K01462"
"2778","95_29","WP_046662465.1",187,1.24e-104,303,88.77,"GO:0006412;GO:0042586;GO:0046872","translation; peptide deformylase activity; metal ion binding;peptide deformylase activity;metal ion binding","K01462","peptide deformylase [EC:3.5.1.88]","K01462"
"2779","95_30","WP_073634512.1",65,1.71e-26,96.3,86.15,"GO:0016021","integral component of membrane","WP_073634512.1","MULTISPECIES: hypothetical protein","none"
"2780","95_30","WP_073634512.1",65,1.71e-26,96.3,86.15,"GO:0016021","integral component of membrane","WP_073634512.1","MULTISPECIES: hypothetical protein","none"
"2781","95_31","WP_012595083.1",53,8.45e-17,72,83.02,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","WP_012595083.1","hypothetical protein","none"
"2782","95_32","RPH90613.1",145,2.35e-57,186,80,"GO:0030076;GO:0030089","light-harvesting complex; phycobilisome;phycobilisome","K22221","HEAT repeat-containing taxis protein","K22221"
"2783","95_33","WP_007311193.1",311,1.28e-228,627,100,"GO:0030655;GO:0046677;GO:0008800;GO:0017001","beta-lactam antibiotic catabolic process; response to antibiotic; beta-lactamase activity;antibiotic catabolic process; beta-lactam antibiotic catabolic process","K17836","beta-lactamase class A [EC:3.5.2.6]","K17836"
"2784","95_33","WP_007311193.1",311,1.28e-228,627,100,"GO:0030655;GO:0046677;GO:0008800;GO:0017001","beta-lactam antibiotic catabolic process; response to antibiotic; beta-lactamase activity;antibiotic catabolic process; beta-lactam antibiotic catabolic process","K17836","beta-lactamase class A [EC:3.5.2.6]","K17836"
"2785","95_34","WP_193198901.1",378,2.82e-187,528,85.19,"GO:0016757","glycosyltransferase activity","K00754","L-malate glycosyltransferase [EC:2.4.1.-]","K00754"
"2786","95_38","NEP12689.1",327,2.36e-207,574,92.35,"GO:0006086;GO:0004739;GO:0003824","acetyl-CoA biosynthetic process from pyruvate; pyruvate dehydrogenase (acetyl-transferring) activity; catalytic activity;pyruvate dehydrogenase (acetyl-transferring) activity","K00162","pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]","K00162"
"2787","95_39","WP_015184343.1",473,2.47e-191,545,78.01,"GO:0006886;GO:0071806;GO:0015450;GO:0016020;GO:0055085;GO:0022857;GO:0005886;GO:0006605;GO:0016021;GO:0043952;GO:0065002","intracellular protein transport; protein transmembrane transport; protein-transporting ATPase activity; membrane; transmembrane transport; transmembrane transporter activity;integral component of membrane;plasma membrane;P-P-bond-hydrolysis-driven protein transmembrane transporter activity;intracellular protein transmembrane transport;protein targeting;protein transport by the Sec complex","K03072","preprotein translocase subunit SecD","K03072"
"2788","95_40","WP_185240283.1",303,3.47e-123,360,83.83,"GO:0006886;GO:0015450","intracellular protein transport; protein-transporting ATPase activity","K03074","preprotein translocase subunit SecF","K03074"
"2789","95_41","AGF51426.1",430,2.27e-230,642,89.53,"GO:0033014;GO:0008883;GO:0050661","tetrapyrrole biosynthetic process; glutamyl-tRNA reductase activity; NADP binding","K02492","glutamyl-tRNA reductase [EC:1.2.1.70]","K02492"
"2790","95_44","WP_153586427.1",378,1.39e-113,342,67.46,"GO:0055085;GO:0022857","transmembrane transport; transmembrane transporter activity","K08153","MFS transporter, DHA1 family, multidrug resistance protein","K08153"
"2791","95_45","WP_104907515.1",138,3.34e-73,219,86.23,"GO:0005976;GO:0016779","polysaccharide metabolic process; nucleotidyltransferase activity","K16011","mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]","K16011"
"2792","95_46","WP_072722024.1",415,3.01e-181,515,78.8,"GO:1901642;GO:0005337;GO:0016021;GO:0016020","nucleoside transmembrane transport; nucleoside transmembrane transporter activity; integral component of membrane; membrane;integral component of membrane;nucleoside transmembrane transporter activity","K11536","pyrimidine nucleoside transport protein","K11536"
"2793","95_48","NEQ74279.1",341,1.6e-106,333,70.97,"GO:0055085;GO:0016020","transmembrane transport; membrane","K22044","moderate conductance mechanosensitive channel","K22044"
"2794","95_51","WP_006617304.1",269,4.6e-23,105,49.81,"GO:0055085;GO:0005886;GO:0016020;GO:0016021","transmembrane transport; plasma membrane; membrane; integral component of membrane;integral component of membrane;plasma membrane","K21642","transcriptional repressor OPI1","K21642"
"2795","95_52","WP_193882976.1",786,1.96e-180,540,58.78,"GO:0006090;GO:0016310;GO:0005524;GO:0008986;GO:0003824;GO:0016301;GO:0016772","pyruvate metabolic process; phosphorylation; ATP binding; pyruvate, water dikinase activity; catalytic activity; kinase activity; transferase activity, transferring phosphorus-containing groups","K01007","pyruvate, water dikinase [EC:2.7.9.2]","K01007"
"2796","95_53","WP_096642040.1",207,5.94e-90,268,77.78,"GO:0008168","methyltransferase activity","K03183","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]","K03183"
"2797","95_54","OAN45052.1",165,3.44e-50,168,71.52,"GO:0006413;GO:0003743;GO:0005737","translational initiation; translation initiation factor activity;cytoplasm;translation initiation factor activity","K02520","translation initiation factor IF-3","K02520"
"2798","95_56","WP_053456566.1",156,3.71e-71,216,78.85,"GO:0098869;GO:0016209;GO:0016491","cellular oxidant detoxification; antioxidant activity; oxidoreductase activity;antioxidant activity;oxidoreductase activity","K03564","peroxiredoxin Q/BCP [EC:1.11.1.15]","K03564"
"2799","95_59","WP_007356069.1",329,6.1e-149,427,78.42,"GO:0006412;GO:0071951;GO:0004479;GO:0009058;GO:0003824;GO:0016742","translation; conversion of methionyl-tRNA to N-formyl-methionyl-tR methionyl-tRNA formyltransferase activity;biosynthetic process; catalytic activity; hydroxymethyl-, formyl- and related transferase activity;methionyl-tRNA formyltransferase activity","K00604","methionyl-tRNA formyltransferase [EC:2.1.2.9]","K00604"
"2800","95_60","WP_194056908.1",246,6.98e-145,410,91.46,"GO:0003333;GO:0005524;GO:0015424","amino acid transmembrane transport; ATP binding; ABC-type amino acid transporter activity","K02028","polar amino acid transport system ATP-binding protein [EC:7.4.2.1]","K02028"
"2801","95_63","MBW4650408.1",354,1.9e-201,561,90.4,"GO:0016226;GO:0005524;GO:0016887;GO:0051536","iron-sulfur cluster assembly; ATP binding; ATP hydrolysis activity; iron-sulfur cluster binding","K03593","ATP-binding protein involved in chromosome partitioning","K03593"
"2802","95_66","WP_080506938.1",239,4.43e-133,379,86.19,"GO:0006096;GO:0004807;GO:0003824","glycolytic process; triose-phosphate isomerase activity; catalytic activity","K01803","triosephosphate isomerase (TIM) [EC:5.3.1.1]","K01803"
"2803","95_67","WP_190982239.1",277,4.7e-132,380,84.12,"GO:0009396;GO:0004156;GO:0042558;GO:0044237","folic acid-containing compound biosynthetic process; dihydropteroate synthase activity; pteridine-containing compound metabolic process; cellular metabolic process","K00796","dihydropteroate synthase [EC:2.5.1.15]","K00796"
"2804","95_69","NER92875.1",330,4.74e-157,447,79.7,"GO:0016829","lyase activity","K03795","sirohydrochlorin cobaltochelatase [EC:4.99.1.3]","K03795"
"2805","95_70","MBW4441204.1",484,5.84e-261,724,83.68,"GO:0006281;GO:0003913","DNA repair; DNA photolyase activity","K01669","deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]","K01669"
"2806","95_71","PBQ34230.1",127,2.38e-45,159,76.38,"GO:0005524","ATP binding","K01990","ABC-2 type transport system ATP-binding protein","K01990"
"2807","95_73","NEP13114.1",466,1.52e-292,801,91.85,"GO:0009082;GO:0009098;GO:0003861;GO:0046872;GO:0051539","branched-chain amino acid biosynthetic process; leucine biosynthetic process; 3-isopropylmalate dehydratase activity; metal ion binding; 4 iron, 4 sulfur cluster binding;leucine biosynthetic process;3-isopropylmalate dehydratase activity;4 iron, 4 sulfur cluster binding;metal ion binding","K01702","3-isopropylmalate dehydratase [EC:4.2.1.33]","K01702"
"2808","95_77","WP_023172994.1",71,3.91e-14,70.5,64.79,"GO:0006310;GO:0032196;GO:0003677","DNA recombination; transposition; DNA binding;DNA binding;transposition","WP_023172994.1","transposase","none"
"2809","96_10","WP_173248954.1",99,1.43e-39,131,80.81,"GO:0016788","hydrolase activity, acting on ester bonds","K19166","mRNA interferase HigB [EC:3.1.-.-]","K19166"
"2810","96_11","TXI37864.1",68,1.63e-20,84.3,80.88,"GO:0006355;GO:0003677","regulation of transcription, DNA-templated; DNA binding;DNA binding","K18831","HTH-type transcriptional regulator / antitoxin HigA","K18831"
"2811","96_13","WP_010874073.1",105,4.85e-40,134,77.14,"GO:0006260;GO:0003697","DNA replication; single-stranded DNA binding","K03111","single-strand DNA-binding protein","K03111"
"2812","97_2","HIK08278.1",180,2.06e-34,132,57.78,"GO:0005515","protein binding","K12602","WD repeat-containing protein 61","K12602"
"2813","98_3","MBF2057584.1",225,7.92e-125,357,84.89,"GO:0006189;GO:0004642","'de novo' IMP biosynthetic process; phosphoribosylformylglycinamidine synthase activity","K23265","phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]","K23265"
"2814","98_4","WP_008198151.1",511,5.56e-288,794,91,"GO:0019684;GO:0042773;GO:0008137;GO:0048038;GO:0016021;GO:0031676","photosynthesis, light reaction; ATP synthesis coupled electron transport; NADH dehydrogenase (ubiquinone) activity; quinone binding; integral component of membrane; plasma membrane-derived thylakoid membrane;ATP synthesis coupled electron transport;integral component of membrane;plasma membrane-derived thylakoid membraneDH dehydrogenase (ubiquinone) activity;quinone binding","K05573","NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]","K05573"
"2815","98_5","WP_190820422.1",86,3.36e-42,138,87.21,"GO:0003676","nucleic acid binding","K11294","nucleolin","K11294"
"2816","98_6","TRT43645.1",585,4.96e-240,719,77.61,"GO:0005515","protein binding","K10341","WD repeat and SOCS box-containing protein 1","K10341"
"2817","98_9","WP_190980866.1",499,1.4e-226,637,73.55,"GO:0005975;GO:0004134","carbohydrate metabolic process; 4-alpha-glucanotransferase activity","K00705","4-alpha-glucanotransferase [EC:2.4.1.25]","K00705"
"2818","98_10","WP_099798553.1",175,7.22e-75,228,78.29,"GO:0015979;GO:0009522;GO:0016021;GO:0009579","photosynthesis; photosystem I; integral component of membrane; thylakoid","K16211","maltose/moltooligosaccharide transporter","K16211"
"2819","98_11","REJ47694.1",247,2.13e-98,291,74.49,"GO:0000413;GO:0003755","protein peptidyl-prolyl isomerization; peptidyl-prolyl cis-trans isomerase activity;peptidyl-prolyl cis-trans isomerase activity","K03768","peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]","K03768"
"2820","98_12","WP_079205532.1",723,0,1121,87.97,"GO:0006799;GO:0008976;GO:0009358","polyphosphate biosynthetic process; polyphosphate kinase activity; polyphosphate kinase complex","K00937","polyphosphate kinase [EC:2.7.4.1]","K00937"
"2821","99_2","MBV9500001.1",82,1.01e-28,107,70.73,"GO:0006310;GO:0015074;GO:0003677","DNA recombination; DNA integration; DNA binding","K07358","type 1 fimbriae regulatory protein FimE","K07358"
"2822","99_3","PHQ72634.1",88,1.92e-19,84.3,68.18,"GO:0006310;GO:0015074;GO:0003677","DNA recombination; DNA integration; DNA binding;DNA binding;DNA integration","K07357","type 1 fimbriae regulatory protein FimB","K07357"
"2823","99_9","NET57576.1",461,2.29e-157,476,71.58,"GO:0006310;GO:0006313;GO:0032196;GO:0003677;GO:0004803","DNA recombination; transposition, DNA-mediated; transposition; DNA binding; transposase activity;DNA binding;transposase activity;transposition, DNA-mediated","NET57576.1","Tn3 family transposase","none"
"2824","99_10","NET57576.1",397,2.71e-200,584,85.14,"GO:0006313;GO:0004803;GO:0003677","transposition, DNA-mediated; transposase activity;DNA binding;transposase activity","K17998","iron-hydrogenase subunit beta [EC:1.12.1.4]","K17998"
"2825","99_11","WP_071824596.1",199,3.68e-143,405,98.99,"GO:0009772;GO:0045156;GO:0019684","photosynthetic electron transport in photosystem II; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; photosynthesis, light reaction","K02703","photosystem II P680 reaction center D1 protein [EC:1.10.3.9]","K02703"
"2826","100_1","MBQ0129748.1",172,1.81e-58,196,77.33,"GO:0005524;GO:0016887","ATP binding; ATP hydrolysis activity","K13525","transitional endoplasmic reticulum ATPase","K13525"
"2827","102_1","WP_188771228.1",264,3.64e-132,381,82.2,"GO:0006306;GO:0003677;GO:0008170","DNA methylation; DNA binding; N-methyltransferase activity","K07319","adenine-specific DNA-methyltransferase [EC:2.1.1.72]","K07319"
"2828","103_3","MBC6420067.1",341,9.11e-204,568,92.67,"GO:0006281;GO:0003697;GO:0005524;GO:0008094;GO:0006259;GO:0003677","DNA repair; single-stranded DNA binding; ATP binding; ATP-dependent activity, acting on DDNA metabolic process; DNA repair; DNA binding","K03553","recombination protein RecA","K03553"
"2829","103_4","WP_190440799.1",470,6.52e-186,532,71.7,"GO:0042242;GO:0003824","cobyrinic acid a,c-diamide synthase activity;catalytic activity; cobyrinic acid a,c-diamide synthase activity","K02224","cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]","K02224"
"2830","103_5","3ROJ_A",343,3.88e-221,612,95.04,"GO:0006071;GO:0006094;GO:0016311;GO:0019253;GO:0030388;GO:0042132;GO:0046872;GO:0050278","glycerol metabolic process; gluconeogenesis; dephosphorylation; reductive pentose-phosphate cycle; fructose 1,6-bisphosphate metabolic process; fructose 1,6-bisphosphate 1-phosphatase activity; metal ion binding; sedoheptulose-bisphosphatase activity","K11532","fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","K11532"
"2831","103_6","MBN3876815.1",157,2.98e-75,227,85.99,"GO:0015937;GO:0004595;GO:0009058;GO:0003824","coenzyme A biosynthetic process; pantetheine-phosphate adenylyltransferase activity;biosynthetic process; coenzyme A biosynthetic process; catalytic activity","K00954","pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]","K00954"
"2832","103_7","WP_194044025.1",35,1.51e-06,47,82.86,"GO:0006355","regulation of transcription, DNA-templated","K21495","antitoxin FitA","K21495"
"2833","104_2","WP_214437447.1",679,2.5e-305,863,80.71,"GO:0003924;GO:0005525","GTPase activity; GTP binding","K06030","mitofusin 2 [EC:3.6.5.-]","K06030"
"2834","104_3","WP_016953123.1",296,1.86e-106,331,76.01,"GO:0003924","GTPase activity","K06030","mitofusin 2 [EC:3.6.5.-]","K06030"
"2835","104_5","TRU69959.1",978,0,1095,73.62,"GO:0003676;GO:0005524","nucleic acid binding; ATP binding","K03727","ATP-dependent RNA helicase HelY [EC:3.6.4.-]","K03727"
"2836","104_6","MBN4000488.1",317,1.8e-81,254,65.3,"GO:0006352;GO:0006355;GO:0003677;GO:0016987;GO:0003700","DNA-templated transcription, initiation; regulation of transcription, DNA-templated; DNA binding; sigma factor activity; DNA-binding transcription factor activity","K03087","RNA polymerase nonessential primary-like sigma factor","K03087"
"2837","105_5","WP_067773159.1",586,4.25e-37,154,48.98,"GO:0005524;GO:0016887","ATP binding; ATP hydrolysis activity","K02022","HlyD family secretion protein","K02022"
"2838","105_6","WP_168358615.1",716,2.4e-305,877,76.96,"GO:0006508;GO:0055085;GO:0005524;GO:0008233;GO:0140359;GO:0016021","proteolysis; transmembrane transport; ATP binding; peptidase activity; ABC-type transporter activity; integral component of membrane","K20344","ATP-binding cassette, subfamily C, bacteriocin exporter","K20344"
"2839","105_11","WP_096608329.1",191,1.36e-28,124,53.93,"GO:0006468;GO:0004672;GO:0005524","protein phosphorylation; protein kinase activity; ATP binding","K04373","ribosomal protein S6 kinase alpha-1/2/3/6 [EC:2.7.11.1]","K04373"
"2840","105_15","WP_193941451.1",267,5.4e-38,145,51.69,"GO:0006468;GO:0004672;GO:0005524","protein phosphorylation; protein kinase activity; ATP binding","K08884","serine/threonine protein kinase, bacterial [EC:2.7.11.1]","K08884"
"2841","105_16","WP_071880491.1",46,2.7e-09,52.4,73.91,"GO:0006355;GO:0003677","regulation of transcription, DNA-templated;DNA binding","K18918","RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB","K18918"
"2842","105_17","PHX54912.1",522,6.47e-137,416,59.39,"GO:0015696;GO:0008519;GO:0016020;GO:0016021","ammonium transport; ammonium transmembrane transporter activity; membrane;integral component of membrane;ammonium transmembrane transporter activity","K03320","ammonium transporter, Amt family","K03320"
"2843","105_18","ACK74145.1",307,2.42e-125,366,74.92,"GO:0006310;GO:0015074;GO:0003677","DNA recombination; DNA integration; DNA binding;DNA binding;DNA integration","K04763","integrase/recombinase XerD","K04763"
"2844","105_19","MBW4427109.1",72,2.98e-32,111,91.67,"GO:0006355","regulation of transcription, DNA-templated","K21495","antitoxin FitA","K21495"
"2845","105_21","GBE75173.1",102,4.42e-26,98.2,68.63,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","K22804","structural maintenance of chromosomes protein 6","K22804"
"2846","105_24","WP_041306171.1",187,6.93e-45,154,65.78,"GO:0006310;GO:0006355;GO:0000150;GO:0003677","DNA recombination; regulation of transcription, DNA-templated; DNA strand exchange activity; DNA binding","K07450","putative resolvase","K07450"
"2847","105_30","TRT55018.1",127,2.6e-53,169,74.8,"GO:0016301","kinase activity","K07341","death on curing protein","K07341"
"2848","105_31","MBV6501520.1",71,5.78e-24,90.5,78.87,"GO:0003677","DNA binding","K07172","antitoxin MazE","K07172"
"2849","106_4","MBW4489789.1",166,1.35e-89,263,90.36,"GO:0015979;GO:0030089","photosynthesis; phycobilisome","K02097","phycobilisome core component","K02097"
"2850","106_6","MBW4555012.1",81,2.89e-39,130,88.89,"GO:0003676","nucleic acid binding","K13195","cold-inducible RNA-binding protein","K13195"
"2851","106_7","WP_039754535.1",871,0,1323,91.16,"GO:0009408;GO:0042026;GO:0005524;GO:0016887;GO:0005737","response to heat; protein refolding; ATP binding; ATP hydrolysis activity; cytoplasm","K03695","ATP-dependent Clp protease ATP-binding subunit ClpB","K03695"
"2852","106_12","XP_043084395.1",169,1.26e-85,255,81.66,"GO:0000413;GO:0003755","protein peptidyl-prolyl isomerization; peptidyl-prolyl cis-trans isomerase activity","K09563","peptidyl-prolyl isomerase C (cyclophilin C) [EC:5.2.1.8]","K09563"
"2853","106_13","WP_008200955.1",105,1.9e-35,121,78.1,"GO:0016020;GO:0016021","membrane;integral component of membrane","K08714","voltage-gated sodium channel","K08714"
