yourlist:M20210906F248CABF64506F29A91F8037F07B67D11995558	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
NET55899.1	A0A6M0FWP5	A0A6M0FWP5_9CYAN	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	F6K47_06935	Symploca sp. SIO2E6	338	"NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; glucose metabolic process [GO:0006006]"	GO:0006006; GO:0016620; GO:0050661; GO:0051287
NER83837.1	A0A6G3Z9I9	A0A6G3Z9I9_9CYAN	unreviewed	Response regulator	F6K42_30700	Leptolyngbya sp. SIO1D8	374	phosphorelay sensor kinase activity [GO:0000155]	GO:0000155
OBQ11563.1	A0A1B7V7T0	A0A1B7V7T0_9NOST	unreviewed	Prevent-host-death protein	AN482_08165	Anabaena sp. LE011-02	85		
EDX74349.1	B4VU90	B4VU90_9CYAN	unreviewed	Gamma-glutamyltransferase (EC 2.3.2.2)	MC7420_3873	Coleofasciculus chthonoplastes PCC 7420	593	glutathione hydrolase activity [GO:0036374]; hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]; glutathione catabolic process [GO:0006751]	GO:0006751; GO:0036374; GO:0102953; GO:0103068
MXW39090.1	A0A6L7RF12	A0A6L7RF12_9BACT	unreviewed	Glutamyl-tRNA amidotransferase	F4X43_13615 F4Z65_12620	Acidobacteria bacterium	536	transferase activity [GO:0016740]	GO:0016740
AFZ47724.1	K9YLI8	K9YLI8_CYASC	unreviewed	Response regulator receiver protein	Cyast_1768	Cyanobacterium stanieri (strain ATCC 29140 / PCC 7202)	120	phosphorelay signal transduction system [GO:0000160]	GO:0000160
CAA9313568.1	A0A6J4KT92	A0A6J4KT92_9BACT	unreviewed	Circadian input kinase A	AVDCRST_MAG89-1281	uncultured Gemmatimonadetes bacterium	134	kinase activity [GO:0016301]; phosphorelay signal transduction system [GO:0000160]	GO:0000160; GO:0016301
NER29078.1	A0A6B3NIL8	A0A6B3NIL8_9CYAN	unreviewed	Methyl-accepting chemotaxis protein	F6J89_15935	Symploca sp. SIO1C4	778	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	GO:0007165; GO:0016021
EKQ70176.1	K8GRU3	K8GRU3_9CYAN	unreviewed	Leucine rich repeat protein	OsccyDRAFT_0447	Leptolyngbyaceae cyanobacterium JSC-12	321		
NET90894.1	A0A6P1ALI0	A0A6P1ALI0_9CYAN	unreviewed	Tetratricopeptide repeat protein	F6K45_22850	Kamptonema sp. SIO1D9	292		
TRU86243.1	A0A552IS60	A0A552IS60_9CHRO	unreviewed	DUF2808 domain-containing protein	EWV54_14665	Microcystis novacekii Mn_MB_F_20050700_S1D	182		
KPQ36423.1	A0A0P8A0J5	A0A0P8A0J5_9CYAN	unreviewed	Uncharacterized protein	HLUCCA11_06060	Phormidesmis priestleyi Ana	101	integral component of membrane [GO:0016021]	GO:0016021
TPN82334.1	A0A504IWD1	A0A504IWD1_9FLAO	unreviewed	DUF11 domain-containing protein	FHK87_23200	Flavobacteriaceae bacterium M625	4048		
NET87984.1	A0A6P1AD64	A0A6P1AD64_9CYAN	unreviewed	Tryptophan-rich sensory protein	F6K45_07795	Kamptonema sp. SIO1D9	266	integral component of membrane [GO:0016021]	GO:0016021
PSN11395.1	A0A2P8VV32	A0A2P8VV32_9CYAN	unreviewed	Uncharacterized protein	C7293_24470	filamentous cyanobacterium CCT1	56	integral component of membrane [GO:0016021]	GO:0016021
HGG03218.1	A0A7C3VPW8	A0A7C3VPW8_9CYAN	unreviewed	DUF3598 family protein	ENR15_21915	Planktothricoides sp. SpSt-374	276	cell division [GO:0051301]; regulation of division septum assembly [GO:0032955]	GO:0032955; GO:0051301
HCN30861.1	A0A3D3LGP6	A0A3D3LGP6_9BACT	unreviewed	Cyclic nucleotide-binding domain-containing protein	DIT64_19505	Verrucomicrobiales bacterium	144		
PZV17413.1	A0A2W7AUX2	A0A2W7AUX2_9CYAN	unreviewed	Uncharacterized protein	DCF20_06155	Pseudanabaena sp.	234		
BAY44919.1	A0A1Z4ISD1	A0A1Z4ISD1_9CYAN	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)	SAMD00079811_25210	Scytonema sp. HK-05	368	thylakoid [GO:0009579]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	GO:0003755; GO:0009579
HAC65100.1	A0A3B8YC72	A0A3B8YC72_9CYAN	unreviewed	Uncharacterized protein	DCF68_16615	Cyanothece sp. UBA12306	122		
TRT43022.1	A0A551X2T3	A0A551X2T3_MICAE	unreviewed	RNA polymerase sigma factor SigF	EWV85_22995	Microcystis aeruginosa Ma_QC_C_20070703_M131	258	"DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]"	GO:0003677; GO:0006352; GO:0016987
HAC63221.1	A0A3B8XZL6	A0A3B8XZL6_9CYAN	unreviewed	Protein PatA	DCF68_06680	Cyanothece sp. UBA12306	417	cell septum [GO:0030428]; heterocyst differentiation [GO:0043158]; phosphorelay signal transduction system [GO:0000160]	GO:0000160; GO:0030428; GO:0043158
TRT47298.1	A0A551XF21	A0A551XF21_MICAE	unreviewed	DUF4335 domain-containing protein	EWV85_18245	Microcystis aeruginosa Ma_QC_C_20070703_M131	217	integral component of membrane [GO:0016021]	GO:0016021
QMS90197.1	A0A7D7QAQ5	A0A7D7QAQ5_9NOSO	unreviewed	ATP-binding protein	HUN01_22370	Nostoc edaphicum CCNP1411	680	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]	GO:0005524; GO:0016021
PSB49904.1	A0A2T1FY29	A0A2T1FY29_9CHRO	unreviewed	Uncharacterized protein	C7B80_00610	Cyanosarcina cf. burmensis CCALA 770	303		
NEO36636.1	A0A6P0KJV6	A0A6P0KJV6_9CYAN	unreviewed	Antitoxin	F6J90_10000	Moorea sp. SIOASIH	84		
PIV26771.1	A0A2M7CME0	A0A2M7CME0_9CHLR	unreviewed	Putative mRNA interferase YoeB (Toxin YoeB) (Fragment)	COS37_04660	Anaerolineae bacterium CG03_land_8_20_14_0_80_58_20	78	endonuclease activity [GO:0004519]; RNA catabolic process [GO:0006401]	GO:0004519; GO:0006401
TRT66398.1	A0A551YZK4	A0A551YZK4_9CHRO	unreviewed	Glycogen debranching enzyme GlgX	glgX EWV84_16035	Microcystis sp. M_QC_C_20170808_M3Col	692	"glycogen debranching enzyme activity [GO:0004133]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; transferase activity, transferring glycosyl groups [GO:0016757]; glycogen catabolic process [GO:0005980]"	GO:0004133; GO:0004553; GO:0005980; GO:0016757
RCJ42256.1	A0A367S066	A0A367S066_9NOSO	unreviewed	Peptidase C14	A6770_08590	Nostoc minutum NIES-26	641	integral component of membrane [GO:0016021]	GO:0016021
ACB52992.1	B1X0V3	B1X0V3_CROS5	unreviewed	DUF4340 domain-containing protein	cce_3644	Crocosphaera subtropica (strain ATCC 51142 / BH68) (Cyanothece sp. (strain ATCC 51142))	199	integral component of membrane [GO:0016021]	GO:0016021
REJ43519.1	A0A3E0L7L8	A0A3E0L7L8_9CHRO	unreviewed	ABC transporter	DWQ53_17285	Microcystis flos-aquae DF17	508	integral component of membrane [GO:0016021]	GO:0016021
TVQ59160.1	A0A6P2AX59	A0A6P2AX59_9CYAN	unreviewed	ABC transporter permease	EA366_05300	Spirulina sp. DLM2.Bin59	265	integral component of membrane [GO:0016021]	GO:0016021
OCR02625.1	A0A1C0VXV7	A0A1C0VXV7_9CYAN	unreviewed	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB BCD67_23075	Oscillatoriales cyanobacterium USR001	363	cytoplasm [GO:0005737]; 3-isopropylmalate dehydrogenase activity [GO:0003862]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; branched-chain amino acid biosynthetic process [GO:0009082]; leucine biosynthetic process [GO:0009098]	GO:0000287; GO:0003862; GO:0005737; GO:0009082; GO:0009098; GO:0051287
NEO31869.1	A0A6P0K686	A0A6P0K686_9CYAN	unreviewed	Uma2 family endonuclease	F6K36_15815	Symploca sp. SIO3C6	340	endonuclease activity [GO:0004519]	GO:0004519
PYS68188.1	A0A2V8PZW8	A0A2V8PZW8_9BACT	unreviewed	DUF5615 domain-containing protein	DMF69_20920	Acidobacteria bacterium	100		
CCQ63023.1	T2JAY1	T2JAY1_CROWT	unreviewed	"Type I restriction-modification system,specificity subunit S (EC 3.1.21.3)"	CWATWH0401_4493	Crocosphaera watsonii WH 0401	562	DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA modification [GO:0006304]	GO:0003677; GO:0006304; GO:0009035
KFF41215.1	A0A086CGA1	A0A086CGA1_9CHRO	unreviewed	Hydrogenase maturation protease	ucyna2_00944	Candidatus Atelocyanobacterium thalassa isolate SIO64986	160	enzyme activator activity [GO:0008047]; peptidase activity [GO:0008233]	GO:0008047; GO:0008233
NEP47174.1	A0A6M0CCD8	A0A6M0CCD8_9CYAN	unreviewed	Metal ABC transporter ATP-binding protein	F6K35_51530	Okeania sp. SIO2H7	239	ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0042626
BBH41105.1	A0A3G9K5K1	A0A3G9K5K1_MICVR	unreviewed	AAA domain-containing protein	myaer102_36970	Microcystis viridis NIES-102	423		
NER80450.1	A0A6G3Z0V2	A0A6G3Z0V2_9CYAN	unreviewed	HlyC/CorC family transporter	F6K42_12910	Leptolyngbya sp. SIO1D8	356	integral component of membrane [GO:0016021]	GO:0016021
ELR96943.1	L8LHF0	L8LHF0_9CHRO	unreviewed	Putative protease of the Abi (CAAX) family	GLO73106DRAFT_00007440	Gloeocapsa sp. PCC 73106	793	integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; CAAX-box protein processing [GO:0071586]	GO:0004222; GO:0016021; GO:0071586
TAO00884.1	A0A522XGL9	A0A522XGL9_9CYAN	unreviewed	SDR family oxidoreductase	EYR95_08290	Phormidium sp. SL48-SHIP	219	oxidoreductase activity [GO:0016491]	GO:0016491
BAI88643.1	D5A0N3	D5A0N3_ARTPN	unreviewed	Uncharacterized protein	NIES39_A08050	Arthrospira platensis (strain NIES-39 / IAM M-135) (Spirulina platensis)	100	integral component of membrane [GO:0016021]	GO:0016021
KRT75833.1	A0A0T6ALD0	A0A0T6ALD0_9BACT	unreviewed	"Hydrogenase maturation protein, carbamoyl dehydratase HypE"	XU14_C0091G0009	Armatimonadetes bacterium CSP1-3	361		
PZV27362.1	A0A2W7BA24	A0A2W7BA24_9CYAN	unreviewed	Glutamate racemase (EC 5.1.1.3)	murI DCF12_04685	Snowella sp.	278	glutamate racemase activity [GO:0008881]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	GO:0008360; GO:0008881; GO:0009252; GO:0071555
CCQ64029.1	T2JG54	T2JG54_CROWT	unreviewed	Chaperone protein DnaK	CWATWH0401_512	Crocosphaera watsonii WH 0401	519	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887
TLM90495.1	A0A5R8WM54	A0A5R8WM54_9BACT	unreviewed	T9SS type A sorting domain-containing protein	FDY95_17420	Hymenobacter jeollabukensis	1336		
BAZ39692.1	A0A1Z4RB60	A0A1Z4RB60_9CYAN	unreviewed	Serine/threonine protein kinase	NIES4101_56460	Calothrix sp. NIES-4101	680	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524
EAM47739.1	Q4BV10	Q4BV10_CROWT	unreviewed	NnrU	CwatDRAFT_0283	Crocosphaera watsonii WH 8501	240	integral component of membrane [GO:0016021]	GO:0016021
BAZ29839.1	A0A1Z4QHY2	A0A1Z4QHY2_9NOST	unreviewed	FdxN element excision controlling factor protein	NIES4074_22860	Cylindrospermum sp. NIES-4074	111		
HAC63317.1	A0A3B8Y9N7	A0A3B8Y9N7_9CYAN	unreviewed	"RNA polymerase sigma factor, RpoD/SigA family"	DCF68_07180	Cyanothece sp. UBA12306	375	"DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]"	GO:0003677; GO:0006352; GO:0016987
TRU45878.1	A0A552FGN7	A0A552FGN7_MICAE	unreviewed	NAD(P)H-quinone oxidoreductase subunit F	EWV57_19640	Microcystis aeruginosa Ma_QC_Ch_20071001_S25D	617	integral component of membrane [GO:0016021]; quinone binding [GO:0048038]	GO:0016021; GO:0048038
ASC71087.1	A0A1Z3HLV5	A0A1Z3HLV5_9CYAN	unreviewed	Alpha-glucosides-binding periplasmic protein AglE	aglE XM38_020370	Halomicronema hongdechloris C2206	436		
RLE28796.1	A0A662EI99	A0A662EI99_9BACT	unreviewed	Sugar ABC transporter permease	DRJ54_05865	Candidatus Acetothermia bacterium	280	integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]	GO:0016021; GO:0055085
NEP89684.1	A0A6P0NUV7	A0A6P0NUV7_9CYAN	unreviewed	Tetratricopeptide repeat protein	F6K18_24210	Okeania sp. SIO2C2	737	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021
PSB14239.1	A0A2T1D166	A0A2T1D166_9CYAN	unreviewed	Ribosome-binding ATPase YchF	ychF C7B76_16920	filamentous cyanobacterium CCP2	363	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; GTP binding [GO:0005525]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]	GO:0005524; GO:0005525; GO:0016887; GO:0043022; GO:0043023
RCJ36249.1	A0A367RJQ2	A0A367RJQ2_9NOSO	unreviewed	Uncharacterized protein	A6770_40695	Nostoc minutum NIES-26	83		
RLA81642.1	A0A661ILD8	A0A661ILD8_9DELT	unreviewed	Uncharacterized protein	DRG36_01360	Deltaproteobacteria bacterium	86		
TLU55671.1	A0A533THL9	A0A533THL9_CHLSQ	unreviewed	Uncharacterized protein	FDX02_02775	Chlorobium sp.	1651	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; toxin activity [GO:0090729]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; pathogenesis [GO:0009405]	GO:0005509; GO:0005576; GO:0007156; GO:0009405; GO:0016020; GO:0090729
NET26103.1	A0A6M0FGC0	A0A6M0FGC0_9CYAN	unreviewed	Type II toxin-antitoxin system VapC family toxin	F6K01_11935	Okeania sp. SIO1I7	129		
PYO57143.1	A0A2V7I3Q1	A0A2V7I3Q1_9BACT	unreviewed	AbrB family transcriptional regulator	DMD83_10775	Candidatus Rokubacteria bacterium	81	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; toxin-antitoxin pair type II binding [GO:0097351]; regulation of cell growth [GO:0001558]	GO:0001558; GO:0003677; GO:0003700; GO:0097351
NEO97437.1	A0A6B3LTI3	A0A6B3LTI3_9CYAN	unreviewed	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA F6K58_01720	Symploca sp. SIO2E9	420	cytoplasm [GO:0005737]; glutamate-5-semialdehyde dehydrogenase activity [GO:0004350]; NADP binding [GO:0050661]; L-proline biosynthetic process [GO:0055129]	GO:0004350; GO:0005737; GO:0050661; GO:0055129
HGX08946.1	A0A7C4UK44	A0A7C4UK44_9BACT	unreviewed	Uncharacterized protein	ENR53_21835	Gemmataceae bacterium	429	catalytic activity [GO:0003824]	GO:0003824
EHJ12270.1	G5J6C1	G5J6C1_CROWT	unreviewed	Uncharacterized protein	CWATWH0003_3024	Crocosphaera watsonii WH 0003	357		
HBB32427.1	A0A352AG45	A0A352AG45_9CYAN	unreviewed	ABC transporter ATP-binding protein	DC064_11675	Cyanobacteria bacterium UBA9273	575	ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; peptide transport [GO:0015833]	GO:0005524; GO:0015833; GO:0042626
NET85455.1	A0A6P1A4E8	A0A6P1A4E8_9CYAN	unreviewed	Prepilin leader peptidase/N-methyltransferase (EC 2.1.1.-) (EC 3.4.23.43)	F6J94_27195	Moorea sp. SIO1F2	277	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0004190; GO:0005886; GO:0008168; GO:0016021; GO:0032259
REJ38999.1	A0A3E0KUP0	A0A3E0KUP0_9CHRO	unreviewed	Aminopeptidase N (EC 3.4.11.2)	DWQ53_23925	Microcystis flos-aquae DF17	878	phycobilisome [GO:0030089]; aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]	GO:0004177; GO:0008237; GO:0008270; GO:0030089
MYC75303.1	A0A7X4BMR9	A0A7X4BMR9_9BACT	unreviewed	DUF2283 domain-containing protein	F4X10_05950	Candidatus Poribacteria bacterium	75		
OGV64424.1	A0A1G1A1L3	A0A1G1A1L3_9BACT	unreviewed	Antitoxin	A2283_11155	Lentisphaerae bacterium RIFOXYA12_FULL_48_11	72		
KAA3602809.1	A0A6H9KZJ4	A0A6H9KZJ4_9BACT	unreviewed	BrnT family toxin	DWQ06_06445	Calditrichaeota bacterium	95		
HAC64251.1	A0A3B8Y2I3	A0A3B8Y2I3_9CYAN	unreviewed	Alpha/beta hydrolase	DCF68_12100	Cyanothece sp. UBA12306	330	hydrolase activity [GO:0016787]	GO:0016787
CAA28262.1	P71324	P71324_MICDP	unreviewed	CpeY protein	cpeY	Microchaete diplosiphon (Fremyella diplosiphon)	429	phycobilisome [GO:0030089]; lyase activity [GO:0016829]	GO:0016829; GO:0030089
GDX71578.1	A0A4P5V8Q5	A0A4P5V8Q5_9CYAN	unreviewed	Phycocyanin operon protein Z	cpeZ LBMAG39_00110	Cyanobium sp.	213	phycobilisome [GO:0030089]	GO:0030089
RUM54219.1	A0A432RP92	A0A432RP92_9GAMM	unreviewed	Ferrous iron transport protein A	DSY87_01465	Methylococcus sp.	77	transition metal ion binding [GO:0046914]	GO:0046914
NEP55433.1	A0A6P0NJS3	A0A6P0NJS3_9CYAN	unreviewed	Monovalent cation/H(+) antiporter subunit G	F6K65_44300	Moorea sp. SIO3C2	92	integral component of membrane [GO:0016021]; monovalent cation:proton antiporter activity [GO:0005451]	GO:0005451; GO:0016021
NER82204.1	A0A6G3Z4P1	A0A6G3Z4P1_9CYAN	unreviewed	Uncharacterized protein	F6K42_22110	Leptolyngbya sp. SIO1D8	83	integral component of membrane [GO:0016021]	GO:0016021
NEO30811.1	A0A6P0K4C3	A0A6P0K4C3_9CYAN	unreviewed	Cation:proton antiporter	F6K36_10335	Symploca sp. SIO3C6	477	integral component of membrane [GO:0016021]; quinone binding [GO:0048038]	GO:0016021; GO:0048038
NEZ56047.1	A0A6M0RIL6	A0A6M0RIL6_9CYAN	unreviewed	Photosystem II reaction center Psb28 protein	psb28 DXZ20_10245	Leptolyngbyaceae cyanobacterium CCMR0081	124	photosystem II oxygen evolving complex [GO:0009654]; photosynthesis [GO:0015979]	GO:0009654; GO:0015979
PIG92113.1	A0A2G7GGY3	A0A2G7GGY3_9CHRO	unreviewed	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB CSQ79_18100	Chroococcales cyanobacterium IPPAS B-1203	665	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]	GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432; GO:0016887
ARV63392.1	A0A1Y0RTY2	A0A1Y0RTY2_9CYAN	unreviewed	Chromosome partitioning protein ParB	BZZ01_32855	Nostocales cyanobacterium HT-58-2	307	DNA binding [GO:0003677]	GO:0003677
NET08120.1	A0A6M0F0E8	A0A6M0F0E8_9CYAN	unreviewed	Calcium-binding protein	F6K16_26135	Symploca sp. SIO2B6	316	calcium ion binding [GO:0005509]	GO:0005509
OYE01958.1	A0A235IVY5	A0A235IVY5_9NOSO	unreviewed	HNH endonuclease	CDG79_26725	Nostoc sp. 'Peltigera membranacea cyanobiont' 232	92	endonuclease activity [GO:0004519]	GO:0004519
OKH29943.1	A0A1U7I1M7	A0A1U7I1M7_9CYAN	unreviewed	Uncharacterized protein	NIES2119_31730	Phormidium ambiguum IAM M-71	285		
EAW26357.1	A0XZB2	A0XZB2_9GAMM	unreviewed	Hypothetical transposase	ATW7_11691 ATW7_18675	Alteromonadales bacterium TW-7	457	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
BAZ27962.1	A0A1Z4QCM2	A0A1Z4QCM2_9NOST	unreviewed	Translation initiation factor IF-3	infC NIES4074_03920	Cylindrospermum sp. NIES-4074	177	cytoplasm [GO:0005737]; translation initiation factor activity [GO:0003743]	GO:0003743; GO:0005737
HBK97487.1	A0A355CJB4	A0A355CJB4_9CYAN	unreviewed	Uncharacterized protein	DD001_09205	Microcoleaceae bacterium UBA10368	631	integral component of membrane [GO:0016021]	GO:0016021
HAC65468.1	A0A3B8Y868	A0A3B8Y868_9CYAN	unreviewed	Biopolymer transporter	DCF68_18535	Cyanothece sp. UBA12306	163		
ARV59492.1	A0A1Y0RI83	A0A1Y0RI83_9CYAN	unreviewed	Glucosamine-6-phosphate deaminase	BZZ01_13410	Nostocales cyanobacterium HT-58-2	260	glucosamine-6-phosphate deaminase activity [GO:0004342]; carbohydrate metabolic process [GO:0005975]; N-acetylglucosamine metabolic process [GO:0006044]	GO:0004342; GO:0005975; GO:0006044
BAZ28975.1	A0A1Z4QFH8	A0A1Z4QFH8_9NOST	unreviewed	Macrophage migration inhibitory factor family protein	NIES4074_14120	Cylindrospermum sp. NIES-4074	117		
NEQ97695.1	A0A6P0TJP4	A0A6P0TJP4_9CYAN	unreviewed	S8 family serine peptidase (Fragment)	F6K30_13415	Cyanothece sp. SIO2G6	1837	carbohydrate binding [GO:0030246]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0030246
PLZ95352.1	A0A2N6KAK1	A0A2N6KAK1_9CYAN	unreviewed	Polysialic acid transporter	CEN50_22645	Fischerella thermalis CCMEE 5268	259	integral component of membrane [GO:0016021]	GO:0016021
NEP22493.1	A0A6M0AYX5	A0A6M0AYX5_9CYAN	unreviewed	2OG-Fe(II) oxygenase	F6K49_10905	Moorea sp. SIO3I6	269	oxidoreductase activity [GO:0016491]	GO:0016491
TDJ14359.1	A0A523JZB2	A0A523JZB2_9GAMM	unreviewed	Arylsulfatase	E2O65_14515	Gammaproteobacteria bacterium	512	sulfuric ester hydrolase activity [GO:0008484]	GO:0008484
NEP47505.1	A0A6P0MV20	A0A6P0MV20_9CYAN	unreviewed	Haloacid dehalogenase-like hydrolase	F6K65_01110	Moorea sp. SIO3C2	332	hydrolase activity [GO:0016787]	GO:0016787
NEO91454.1	A0A6P0LXM3	A0A6P0LXM3_9CYAN	unreviewed	Formylglycine-generating enzyme family protein	F6K56_14910	Moorea sp. SIO3G5	336		
NEQ41313.1	A0A6P0RKW7	A0A6P0RKW7_9CYAN	unreviewed	Fatty acid desaturase	F6K40_36000	Okeania sp. SIO3I5	281	integral component of membrane [GO:0016021]; lipid metabolic process [GO:0006629]	GO:0006629; GO:0016021
OFZ71220.1	A0A1F3X7I2	A0A1F3X7I2_9PROT	unreviewed	Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Toxin VapC)	vapC A2Z01_05805	Betaproteobacteria bacterium RBG_16_58_11	140	magnesium ion binding [GO:0000287]; ribonuclease activity [GO:0004540]; toxin activity [GO:0090729]	GO:0000287; GO:0004540; GO:0090729
BAZ44398.1	A0A1Z4RPK9	A0A1Z4RPK9_9CHRO	unreviewed	Uncharacterized protein	NIES4102_14070	Chondrocystis sp. NIES-4102	193		
TRT80986.1	A0A552A5U6	A0A552A5U6_MICAE	unreviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF EWV82_13770	Microcystis aeruginosa Ma_AC_P_19900807_S299	233	orotidine-5'-phosphate decarboxylase activity [GO:0004590]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	GO:0004590; GO:0006207; GO:0044205
PSB41701.1	A0A2T1F9M9	A0A2T1F9M9_9CYAN	unreviewed	Glyoxalase/bleomycin resistance/extradiol dioxygenase family protein	C7B67_26300	filamentous cyanobacterium Phorm 6	145	dioxygenase activity [GO:0051213]	GO:0051213
NEO51014.1	A0A6L9ZL44	A0A6L9ZL44_9CYAN	unreviewed	Photosystem I reaction center subunit II	F6K55_45840	Moorea sp. SIO4A3	142	photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]	GO:0009538; GO:0015979
HBL10421.1	A0A355DIZ0	A0A355DIZ0_9CYAN	unreviewed	Ferredoxin--nitrite reductase (EC 1.7.7.1)	nirA DD379_03230	Cyanobacteria bacterium UBA11162	511	"4 iron, 4 sulfur cluster binding [GO:0051539]; ferredoxin-nitrite reductase activity [GO:0048307]; heme binding [GO:0020037]; metal ion binding [GO:0046872]"	GO:0020037; GO:0046872; GO:0048307; GO:0051539
MXZ72220.1	A0A6B1DJL0	A0A6B1DJL0_9BACT	unreviewed	Antitoxin	F4W89_10475 F4Z04_12075	Acidobacteria bacterium	83		
MBA3986453.1	A0A7W1UZQ7	A0A7W1UZQ7_9FLAO	unreviewed	ASCH domain-containing protein	H0X63_07775	Flavobacteriales bacterium	128		
THJ21729.1	A0A525WDN6	A0A525WDN6_9BACT	unreviewed	NAD(P)-dependent oxidoreductase	CAF44_008010	Nitrospira sp. CG24D	315	catalytic activity [GO:0003824]	GO:0003824
NES24394.1	A0A6P0X5D4	A0A6P0X5D4_9CYAN	unreviewed	Tetratricopeptide repeat protein (Fragment)	F6K41_37180	Caldora sp. SIO3E6	564		
REJ42600.1	A0A3E0L536	A0A3E0L536_9CHRO	unreviewed	ATP-binding protein	DWQ54_06630	Microcystis flos-aquae TF09	431	ATP binding [GO:0005524]	GO:0005524
OGG52691.1	A0A1F6CUI8	A0A1F6CUI8_9BACT	unreviewed	Uncharacterized protein	A2851_00590	Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_53_29	216	integral component of membrane [GO:0016021]	GO:0016021
BBD57514.1	A0A2Z6CMQ7	A0A2Z6CMQ7_9NOSO	unreviewed	Aldo/keto reductase	NIES2109_02810	Nostoc sp. HK-01	350	D-threo-aldose 1-dehydrogenase activity [GO:0047834]	GO:0047834
CCI34974.1	I4IL00	I4IL00_MICAE	unreviewed	Uncharacterized protein	MICAK_1210002	Microcystis aeruginosa PCC 9701	383	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	GO:0005886; GO:0016021
HDJ89180.1	A0A7J2KC78	A0A7J2KC78_9CREN	unreviewed	Peptidase A2 domain-containing protein	ENG40_00605	Thermoprotei archaeon	123		
